Month,Year,CPI
1,2006, 198.3 
2,2006, 198.7 
3,2006, 199.8 
4,2006, 201.5 
5,2006, 202.5 
6,2006, 202.9 
7,2006, 203.5 
8,2006, 203.9 
9,2006, 202.9 
10,2006, 201.8 
11,2006, 201.5 
12,2006, 201.8 
1,2007, 202.4 
2,2007, 203.5 
3,2007, 205.4 
4,2007, 206.7 
5,2007, 207.9 
6,2007, 208.4 
7,2007, 208.3 
8,2007, 207.9 
9,2007, 208.5 
10,2007, 208.9 
11,2007, 210.2 
12,2007, 210.0 
1,2008, 211.1 
2,2008, 211.7 
3,2008, 213.5 
4,2008, 214.8 
5,2008, 216.6 
6,2008, 218.8 
7,2008, 220.0 
8,2008, 219.1 
9,2008, 218.8 
10,2008, 216.6 
11,2008, 212.4 
12,2008, 210.2 
1,2009, 211.1 
2,2009, 212.2 
3,2009, 212.7 
4,2009, 213.2 
5,2009, 213.9 
6,2009, 215.7 
7,2009, 215.4 
8,2009, 215.8 
9,2009, 216.0 
10,2009, 216.2 
11,2009, 216.3 
12,2009, 215.9 
1,2010, 216.7 
2,2010, 216.7 
3,2010, 217.6 
4,2010, 218.0 
5,2010, 218.2 
6,2010, 218.0 
7,2010, 218.0 
8,2010, 218.3 
9,2010, 218.4 
10,2010, 218.7 
11,2010, 218.8 
12,2010, 219.2 
